,CampaignURL,SportName,City,State,Country,TeamOrAthlete,language,FundsRaisedPercent,PERSON_Entity,ORG_Entity,PRODUCT_Entity,EVENT_Entity,MONEY_Entity,DATE_Entity,TIME_Entity,GPE_Entity,LOC_Entity,NORP_Entity,IsSuccess
48,https://sportfunder.com/sergiyter/28004,Swimming,Vaughan,Ontario,Canada,teams,en,0,"Sergiy Tereshchenko (PERSON), the Kriviy Rig ""Bogatyr"" Aquatic Club (PERSON), ","Masters (ORG), ",,"Canadian Masters Swimming Championship (EVENT), Canadian Open Water Swimming Championship (EVENT), ",,"the age of 7 (DATE), 12 years old (DATE), the next decade (DATE), 90s (DATE), today (DATE), Last year (DATE), ",,,"USSR (GPE), the Soviet Union (GPE), ","Olympian (NORP), ",0
49,https://sportfunder.com/sedibengu15/29566,Rugby,Vanderbijlpark,Gauteng,South Africa,teams,en,0,"Sedibeng U/ (PERSON), ","Sedibeng U/ 15 Rugby (ORG), the Sedibeng U/ 15 Rugby (ORG), ",,,"approximately $226.32 (MONEY), ","two months (DATE), three months (DATE), 3 days (DATE), ",,,,,0
51,https://sportfunder.com/ubcsynchro/957,Synchronized Swimming,Vancouver,British Columbia,Canada,teams,en,49,"UBC Synchro (PERSON), Varsity (PERSON), Novice (PERSON), ","UBC Synchro (ORG), Westerns (ORG), CUSSL Westerns (ORG), ",,,"5-$19 (MONEY), 20-$49 (MONEY), 75-$99 (MONEY), 100 (MONEY), ","Last year (DATE), This year (DATE), This season (DATE), season (DATE), ",,,"Nationals (GPE), Edmonton (GPE), Alberta (GPE), Ottawa (GPE), Ontario (GPE), ","Canadian (NORP), ",0
53,https://sportfunder.com/ubcsynchro/15229,Synchronized Swimming,Vancouver,British Columbia,Canada,teams,en,113,,"CUSSL Westerns (ORG), ",,,"5-$19 (MONEY), 20-$49 (MONEY), 75-$99 (MONEY), 100 (MONEY), ","This season (DATE), season (DATE), ",,,"Edmonton (GPE), Alberta (GPE), Ottawa (GPE), Ontario (GPE), ",,1
56,https://sportfunder.com/christinewonggolf/29414,Golf,Vancouver,British Columbia,Canada,teams,en,0,"Christine Wong Golf (PERSON), ","the Canadian Women's Open (ORG), Canadian Women's (ORG), US Women's Open (ORG), US Women's (ORG), Amateur (ORG), British Amatuer (ORG), the British Columbia Women' Amatuer (ORG), NCAA Individual Champion (ORG), ",,,"over $5,000 (MONEY), ","this year (DATE), ",,,"Amateur (GPE), ",,0
61,https://sportfunder.com/uofamininggames/30996,Mining,Vail,Arizona,United States,athletes,en,87,,"The University of Arizona’s (ORG), Society for Mining, Metallurgy and Exploration Student Chapter (ORG), Sunshine Mine (ORG), The University of Arizona (ORG), 2020 Mining Games Team (ORG), ",,"Annual Intercollegiate Mining Games (EVENT), ",,"each year (DATE), 1972 (DATE), 2019 (DATE), 2020 (DATE), ",,,"Central City (GPE), Colorado (GPE), Arizona (GPE), ","Co-Ed (NORP), ",0
62,https://sportfunder.com/uofamininggames/40216,Mining,Vail,Arizona,United States,athletes,en,42,"jack leg (PERSON), ","The University of Arizona Mining Games Team (ORG), University of Arizona Mining Games Team (ORG), the University of Arizona (ORG), University of Arizona Mining Games Team (ORG), the University of Arizona Mining Games Team (ORG), ",,"Intercollegiate Mining Games (EVENT), ","approximately $5000 (MONEY), ","1972 (DATE), all year (DATE), year (DATE), ",,,"Tucson (GPE), ","Swede (NORP), ",0
63,https://sportfunder.com/vikasshukla/28337,Badminton,Vadodara,Gujarat,India,teams,en,0,,"Coach, Club, Academy (ORG), ",,,,,,,"Badminton (GPE), Referee (GPE), Umpire (GPE), Badminton (GPE), ",,0
64,https://sportfunder.com/stevenpritchard/31217,Motorcycle Racing,Uttoxeter,Staffordshire,United Kingdom,teams,en,0,"Steve Pritchard (PERSON), ","Motorcycle Racing (ORG), ",,,,"today (DATE), ",,,"Uttoxeter (GPE), the United Kingdom (GPE), Minitwin (GPE), ",,0
66,https://sportfunder.com/sebastiaanroell/30890,Lacrosse,Utrecht,Nederland,,teams,en,2,"Mijn naam (PERSON), Sebastiaan Röell (PERSON), van Jong Oranje Lacrosse (PERSON), Omdat Lacrosse (PERSON), van de kosten (PERSON), ik dan (PERSON), kunnen spelen (PERSON), natuurlijk kunt (PERSON), Bent (PERSON), Kijk dan op https://nederlandlacrosse.nl (PERSON), Sebastiaan Röell (PERSON), Sebastiaan (PERSON), ","Hallo (ORG), WK (ORG), WK (ORG), Lacrosse (ORG), Sebastiaan

Hello (ORG), Men’s Dutch National Lacrosse Team (ORG), Lacrosse (ORG), ",,"World Cup (EVENT), World Cup (EVENT), the World Cup (EVENT), the World Cup (EVENT), the World Cup (EVENT), World Cup (EVENT), ","3.000,- (MONEY), around € 3.000 (MONEY), ","2020 (DATE), this week (DATE), next summer (DATE), ",,,"Ierland (GPE), Nederland (GPE), Netherlands (GPE), Ireland (GPE), Netherlands (GPE), ",,0
69,https://sportfunder.com/urbanahighschoolcheerleading/29854,Cheerleading,Urbana,Illinois,United States,teams,en,0,,"The Urbana High School Cheerleading (ORG), Urbana High School Cheerleading (ORG), Urbana High School (ORG), Urbana High School Cheerleading (ORG), BIG (ORG), the Urbana High School Cheerleading (ORG), ",,,,"the season (DATE), a season (DATE), year (DATE), ",,,,,0
70,https://sportfunder.com/howelluniteddiamonds/28125,Soccer,United States,,,teams,en,22,,"The Howell United Diamonds (ORG), Howell United Diamonds (ORG), U-10 Howell United Travel (ORG), Howell United Diamonds (ORG), BIG (ORG), the Howell United Diamonds (ORG), ",,,"approximately $400 (MONEY), ","the season (DATE), a season (DATE), year (DATE), ",,,,,0
71,https://sportfunder.com/nlapro/31921,Lacrosse,United States,,,teams,en,5,"Community Outreach (PERSON), NLA Coaches (PERSON), Matt Casey (PERSON), Marauders LC (PERSON), Attack (PERSON), Marauders LC (PERSON), NLA Draft (PERSON), Matt Valdez (PERSON), Arthur Johnson (PERSON), Founder (PERSON), Arthur Johnson (PERSON), Johnson (PERSON), Johnson (PERSON), Johnson (PERSON), ","NLA (ORG), The National Lacrosse Association (ORG), NLA (ORG), NLA (ORG), NLA (ORG), NLA (ORG), NLA (ORG), NLA (ORG), NLA (ORG), NLA (ORG), NLA (ORG), NLA (ORG), NLA (ORG), NLA (ORG), NLA (ORG), NLA (ORG), Lacrosse (ORG), East Stroudsburg University (ORG), The Re-Education Foundation (ORG), TREF (ORG), Lacrosse (ORG), NCAA (ORG), Lebanon Valley College (ORG), the Faceoff Coordinator (ORG), Lacrosse (ORG), NLA (ORG), ",,,,"September 11th, 2001 (DATE), that day (DATE), 2010 (DATE), years (DATE), ",,,"North America (LOC), Philadelphia (GPE), PA (GPE), the United States (GPE), Black, Indigenous (GPE), Latino (GPE), North America (LOC), the United States (GPE), Philadelphia (GPE), PA (GPE), MD (GPE), Lacrosse (GPE), ","Hispanic (NORP), Asian (NORP), ",0
72,https://sportfunder.com/dangerzonewrestling/23696,Wrestling,United States,,,teams,en,0,,,,,,"this year (DATE), the end of the season (DATE), this year (DATE), ",,,,,0
73,https://sportfunder.com/teambrokenworld/25269,Mixed Martial Arts,United States,,,teams,en,0,"Justin ""Time"" Thomas (PERSON), Justin (PERSON), ","Team Broken World (ORG), the amateur & pro levels (ORG), New York Amateur Welterweights & (ORG), Mixed Martial Arts (ORG), Justin (ORG), Mixed Martial Artist (ORG), Justin (ORG), CAGED CHAOS & FCP CAGED CHAOS (ORG), Justin (ORG), Justin (ORG), the Broken World Family (ORG), ",,,"3000 (MONEY), ","just a few years (DATE), this year (DATE), the end of the year (DATE), 2013 (DATE), this year (DATE), ",,,"US (GPE), Northeast (LOC), ",,0
74,https://sportfunder.com/lehighvalleyhunters/29919,Basketball,United States,,,teams,en,0,,,,,,,,,"the Lehigh Valley Hunters (LOC), Lehigh Valley (GPE), PA (GPE), USA (GPE), ",,0
75,https://sportfunder.com/amakirikelvin/30828,Basketball,United States,,,teams,en,0,"Amakiri Kelvin (PERSON), ",,,,,"today (DATE), ",,,"United States (GPE), ",,0
77,https://sportfunder.com/jamesogle-16thwkc/3169,Kendo,London,,,teams,en,17,"James Ogle (PERSON), ",,,"World Championships (EVENT), European Championships (EVENT), World Championships (EVENT), ",,"8 and a half years (DATE), 2 years ago (DATE), this years (DATE), next year (DATE), ",,,"Great Britain (GPE), GB (GPE), Italy (GPE), France (GPE), Japan (GPE), GB (GPE), Great Britain (GPE), ",,0
78,https://sportfunder.com/seanstarr/21215,Kendo,London,,,teams,en,70,"Jon Fitzgerald (PERSON), Stuart Gibson (PERSON), Andrew Fisher (PERSON), James Ogle (PERSON), Sarfraz Aziz (PERSON), Thomas Widdows (PERSON), Josh Barnard (PERSON), Rick Edmondson (PERSON), Emily Knight (PERSON), Geraldina Mattsson (PERSON), Juliette Liwanpo (PERSON), Jenny Nash

Team GB (PERSON), ","WKC (ORG), Current European Champion (ORG), Ozawa (ORG), WKC (ORG), BKA (ORG), WKC (ORG), World (ORG), ",,"World Kendo Championships (EVENT), ",,"the 18th May (DATE), ",,,"Great Britain (GPE), Tokyo (GPE), Japan (GPE), Tokyo (GPE), the Nippon Budokan (FAC), Tokyo (GPE), Croatia (GPE), New Zealand (GPE), USA (GPE), France (GPE), Malaysia (GPE), Greece (GPE), Tokyo (GPE), ",,0
79,https://sportfunder.com/lucywarne/28012,Equestrianism,London,,,teams,en,0,"Lucy Warne (PERSON), ","Equestrian Athlete (ORG), The Gold Medalist (ORG), The National Summer Games 2017 (ORG), Team SOGB (ORG), The World Summer Games (ORG), Intellectually Disabled Equestrian Athlete (ORG), The RDA National Championships (ORG), The RDA National Overall Champion (ORG), The RDA National Champion in Dressage to Music Freestyle (ORG), Team SOGB (ORG), ",,,"5000 (MONEY), ","this year (DATE), March 2019 (DATE), 2017 (DATE), August 2017 (DATE), this year (DATE), ",,,"Abu Dhabi (GPE), Sheffield (GPE), ",,0
80,https://sportfunder.com/go-2-pro/28136,Tennis,London,,,teams,en,0,"Williams (PERSON), Richard (PERSON), Francis Tiafoe (PERSON), Kristine Ricardsone (PERSON), Martin Skinner (PERSON), Martin Skinner (PERSON), Martin (PERSON), ","Compton (ORG), Murray (ORG), Strength (ORG), ",,,,"the school week (DATE), ",,,,,0
